class,mean,median,p95
Fatal,0.24371896350964214,0.212714065927738,0.5000068028876853
Serious,0.3472860409297137,0.3621869566169058,0.40842070395167557
Slight,0.4089949955606441,0.40794806973766795,0.6249055434449008
