checkpoint,configuration,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fatal_precision,fatal_recall,fatal_f1,serious_f1,slight_f1
Phase 5 baseline,Random Forest balanced + default argmax,0.4750455552819502,0.3796281831352258,0.4889885938123721,0.3386361051386768,0.5446551584349831,0.0363411619283065,0.6070199587061252,0.0685767600979668,0.3167772442359151,0.6305543110821488
Phase 5.1,Random Forest balanced + default argmax,0.4826200443240581,0.3790232864755617,0.4897512414303739,0.3405559409139358,0.5505589633015971,0.0370199370409234,0.6070199587061252,0.0697840018988844,0.3116101789918164,0.6402736418511067
Phase 5.2 / final candidate,Random Forest balanced + Fatal threshold 0.50,0.5429303127308545,0.3880704699983495,0.460541550611256,0.3784099562475404,0.5841290683910045,0.0575237180256995,0.3296627666896077,0.0979550102249488,0.3725257323832145,0.6647491261344577
