number_of_vehicles,speed_limit,hour,month,day_of_week,first_road_class,road_type,junction_detail,junction_control,second_road_class,pedestrian_crossing,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,trunk_road_flag,cluster
1,20,17,11,Saturday,Unclassified,Single carriageway,Other junction,Give way or uncontrolled,6,0,Darkness - lights lit,Raining no high winds,Wet or damp,-1,0,Urban,2,1
2,60,17,10,Friday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
2,30,12,5,Wednesday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,-1,0,Urban,2,1
2,30,9,5,Wednesday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,-1,0,Rural,2,1
2,20,7,7,Friday,Unclassified,One way street,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,-1,0,Urban,2,1
2,20,4,10,Friday,A,Single carriageway,Crossroads,Automatic traffic signal,3,-1,Darkness - lights lit,Other,Wet or damp,-1,-1,Urban,2,1
2,20,15,3,Thursday,A,Dual carriageway,T or staggered junction,Unknown,6,13,Daylight,Fine no high winds,Dry,-1,-1,Urban,2,1
2,20,18,9,Saturday,C,Single carriageway,T or staggered junction,Automatic traffic signal,5,15,Daylight,Fine no high winds,Dry,-1,0,Urban,2,1
3,30,21,3,Monday,B,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Darkness - lights lit,Fine no high winds,Wet or damp,-1,0,Rural,2,1
2,30,20,4,Tuesday,Motorway,Slip road,Data missing / out of range,Give way or uncontrolled,3,0,Darkness - lights lit,Fine no high winds,Dry,-1,0,Rural,1,1
2,70,14,10,Sunday,Motorway,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,-1,0,Rural,1,0
1,30,17,11,Monday,A,Single carriageway,Unknown,Give way or uncontrolled,6,0,Darkness - lighting unknown,Other,Unknown,-1,0,Urban,2,1
2,30,18,4,Wednesday,A,One way street,Crossroads,Automatic traffic signal,3,15,Daylight,Fine no high winds,Dry,-1,0,Urban,2,1
3,50,18,2,Wednesday,A,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fine no high winds,Dry,-1,0,Rural,1,0
2,30,16,8,Thursday,Unclassified,Dual carriageway,T or staggered junction,Give way or uncontrolled,4,0,Daylight,Fine no high winds,Dry,-1,0,Urban,2,1
1,20,0,12,Friday,C,Unknown,T or staggered junction,Unknown,6,13,Darkness - lights lit,Fine no high winds,Dry,-1,-1,Urban,2,1
2,20,10,9,Saturday,Unclassified,Single carriageway,Other junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,-1,0,Urban,2,1
2,30,20,2,Thursday,A,Single carriageway,Other junction,Automatic traffic signal,6,12,Darkness - lights lit,Other,Wet or damp,-1,0,Urban,2,1
1,60,0,12,Monday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - no lighting,Fine no high winds,Dry,-1,15,Rural,2,0
1,40,13,3,Thursday,B,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,4,14,Daylight,Fine no high winds,Dry,-1,0,Urban,-1,1
1,40,12,5,Friday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
2,30,15,4,Thursday,C,One way street,Crossroads,Automatic traffic signal,6,0,Daylight,Fine no high winds,Dry,-1,0,Urban,2,1
