number_of_vehicles,speed_limit,hour,month,day_of_week,first_road_class,road_type,junction_detail,junction_control,second_road_class,pedestrian_crossing,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,trunk_road_flag,cluster
2,30,14,11,Monday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,6,5,Monday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Raining no high winds,Wet or damp,0,0,Urban,1,1
2,30,19,9,Thursday,C,Single carriageway,Other junction,Unknown,6,15,Daylight,Raining no high winds,Wet or damp,0,0,Urban,2,1
2,30,17,4,Thursday,B,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,1
3,30,10,3,Wednesday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,30,5,7,Friday,A,Dual carriageway,T or staggered junction,Give way or uncontrolled,6,14,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,19,11,Wednesday,Unclassified,Single carriageway,Crossroads,Automatic traffic signal,6,12,Darkness - lights lit,Fine no high winds,Wet or damp,0,0,Urban,2,1
1,30,0,9,Sunday,B,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fine no high winds,Wet or damp,0,0,Rural,2,1
2,30,6,4,Sunday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,13,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,8,2,Wednesday,A,Roundabout,Not at or within 20 metres of junction,Give way or uncontrolled,3,0,Darkness - lights lit,Raining no high winds,Wet or damp,0,0,Urban,2,1
2,30,17,12,Sunday,Unclassified,Single carriageway,Crossroads,Automatic traffic signal,6,0,Darkness - lights lit,Raining no high winds,Wet or damp,0,0,Urban,2,1
3,20,16,5,Monday,Unclassified,Slip road,Other junction,Unknown,6,0,Daylight,Raining + high winds,Wet or damp,3,12,Urban,2,1
2,40,16,5,Tuesday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Raining no high winds,Wet or damp,0,0,Rural,2,0
2,30,20,11,Sunday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,60,12,10,Sunday,B,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
2,40,18,1,Sunday,A,Single carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,3,14,Darkness - lights lit,Snowing no high winds,Wet or damp,0,0,Urban,2,1
1,70,17,9,Wednesday,A,Roundabout,Not at or within 20 metres of junction,Give way or uncontrolled,3,0,Daylight,Fine no high winds,Dry,0,0,Rural,-1,0
2,60,10,10,Tuesday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Raining no high winds,Wet or damp,0,0,Rural,2,0
2,30,20,6,Thursday,C,Single carriageway,Junction with more than four arms,Automatic traffic signal,5,15,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,13,4,Friday,B,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
3,30,15,10,Friday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,18,10,Thursday,A,Roundabout,Not at or within 20 metres of junction,Give way or uncontrolled,6,0,Daylight,Raining + high winds,Wet or damp,0,0,Urban,-1,1
2,40,20,9,Friday,A,Roundabout,Not at or within 20 metres of junction,Give way or uncontrolled,4,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
1,30,7,1,Thursday,A,Single carriageway,Other junction,Data missing / out of range,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,23,9,Thursday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lighting unknown,Unknown,Dry,0,0,Urban,2,1
2,30,12,10,Sunday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,4,0,Daylight,Unknown,Dry,0,0,Urban,2,1
1,20,15,5,Tuesday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
3,30,11,3,Tuesday,A,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,17,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,50,16,9,Saturday,B,Roundabout,Not at or within 20 metres of junction,Give way or uncontrolled,4,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
2,70,12,8,Monday,A,Dual carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,3,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
2,30,11,9,Friday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,-1,1
3,30,21,2,Friday,A,One way street,T or staggered junction,Give way or uncontrolled,6,14,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,30,15,12,Friday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Wet or damp,0,0,Urban,2,1
2,30,0,7,Sunday,A,Dual carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,3,-1,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
1,30,20,9,Friday,Unclassified,One way street,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Raining no high winds,Wet or damp,0,0,Urban,2,1
2,40,9,9,Thursday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,3,0,Daylight,Raining no high winds,Wet or damp,0,0,Urban,2,1
2,30,19,10,Saturday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,40,14,4,Monday,A,Dual carriageway,Using private drive or entrance,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,30,8,8,Thursday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,12,5,Saturday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,15,Daylight,Raining no high winds,Wet or damp,0,0,Urban,2,1
2,30,14,10,Tuesday,A,Dual carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
3,30,23,10,Tuesday,C,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,12,Darkness - lights lit,Fine no high winds,Wet or damp,0,0,Urban,2,1
2,40,10,11,Wednesday,A,Dual carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,5,17,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
7,30,2,9,Wednesday,B,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
3,30,13,12,Thursday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,11,12,Friday,A,Single carriageway,Other junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
3,40,11,3,Monday,B,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,-1,0
1,30,8,9,Wednesday,B,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Raining no high winds,Wet or damp,0,0,Urban,2,1
3,30,18,5,Wednesday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,20,8,9,Thursday,Unclassified,Single carriageway,Crossroads,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,1
2,30,14,9,Friday,A,Dual carriageway,Junction with more than four arms,Automatic traffic signal,3,15,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,13,11,Saturday,Unclassified,Single carriageway,Crossroads,Automatic traffic signal,6,15,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,20,10,5,Wednesday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,60,18,9,Thursday,Unclassified,Slip road,Not at or within 20 metres of junction,Give way or uncontrolled,3,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
2,30,17,5,Saturday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,8,2,Tuesday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,20,17,4,Tuesday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Snowing no high winds,Wet or damp,0,0,Urban,2,1
2,30,18,8,Tuesday,A,Single carriageway,Junction with more than four arms,Give way or uncontrolled,6,0,Daylight,Other,Dry,0,0,Urban,2,1
1,30,22,10,Wednesday,A,Unknown,Data missing / out of range,Automatic traffic signal,3,14,Darkness - lights lit,Other,Dry,0,0,Urban,2,1
2,30,18,12,Monday,C,Roundabout,Not at or within 20 metres of junction,Give way or uncontrolled,5,0,Daylight,Fine no high winds,Wet or damp,0,0,Urban,2,1
1,30,0,7,Thursday,B,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,14,Darkness - lights lit,Raining no high winds,Wet or damp,0,0,Urban,2,1
3,30,15,5,Monday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Wet or damp,0,0,Urban,2,1
2,30,13,3,Thursday,A,Single carriageway,Crossroads,Give way or uncontrolled,6,13,Daylight,Other,Dry,7,15,Urban,2,1
3,30,12,7,Friday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,14,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,19,11,Saturday,A,Single carriageway,Using private drive or entrance,Give way or uncontrolled,6,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,30,16,12,Thursday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,3,99,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,20,20,9,Friday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,3,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,30,19,5,Sunday,A,Roundabout,Not at or within 20 metres of junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,19,4,Saturday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,20,9,11,Thursday,Unclassified,Single carriageway,T or staggered junction,Stop sign,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,60,17,1,Saturday,A,Single carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,3,0,Darkness - lights lit,Fine no high winds,Frost or ice,0,0,Rural,2,0
1,60,23,10,Friday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - no lighting,Fine no high winds,Dry,0,0,Rural,2,0
2,20,16,8,Friday,B,Single carriageway,Crossroads,Automatic traffic signal,4,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,17,11,Friday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,20,15,7,Tuesday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,13,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,30,11,4,Saturday,Unclassified,Dual carriageway,T or staggered junction,Automatic traffic signal,6,15,Daylight,Fine no high winds,Dry,0,17,Urban,-1,1
1,30,9,4,Monday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,1
2,30,7,4,Monday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Wet or damp,0,0,Urban,2,1
1,30,16,11,Tuesday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
3,30,12,8,Wednesday,A,Single carriageway,Crossroads,Automatic traffic signal,3,15,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,30,16,8,Monday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,8,9,Wednesday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,17,10,Saturday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,1
2,30,15,12,Wednesday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,9,11,Sunday,A,Roundabout,Not at or within 20 metres of junction,Give way or uncontrolled,3,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,60,17,6,Tuesday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
1,40,18,5,Wednesday,Unclassified,Single carriageway,Crossroads,Automatic traffic signal,3,15,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,30,15,11,Sunday,B,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Snowing no high winds,Snow,0,0,Urban,2,1
2,30,15,8,Saturday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,60,20,10,Friday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Rural,-1,0
2,30,13,6,Saturday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,3,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,20,15,5,Friday,Unclassified,Single carriageway,Crossroads,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,30,7,1,Tuesday,Unclassified,One way street,Data missing / out of range,Unknown,3,15,Daylight,Fine no high winds,Wet or damp,0,0,Urban,2,1
2,20,15,6,Thursday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,60,18,10,Sunday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - no lighting,Fine no high winds,Wet or damp,0,0,Rural,2,0
2,30,14,9,Sunday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,15,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,50,7,9,Friday,A,Roundabout,Not at or within 20 metres of junction,Give way or uncontrolled,3,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
1,30,20,9,Tuesday,Unclassified,Single carriageway,Using private drive or entrance,Give way or uncontrolled,6,0,Darkness - lights lit,Fine no high winds,Wet or damp,0,0,Urban,2,1
2,30,14,11,Tuesday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,3,13,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,40,14,7,Monday,C,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
2,30,8,2,Saturday,A,Roundabout,Not at or within 20 metres of junction,Give way or uncontrolled,3,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,60,9,1,Thursday,B,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Frost or ice,0,0,Rural,2,0
2,30,17,8,Friday,B,Single carriageway,Crossroads,Automatic traffic signal,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
3,40,8,4,Monday,B,Dual carriageway,Crossroads,Automatic traffic signal,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,14,9,Thursday,A,One way street,Crossroads,Automatic traffic signal,3,15,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,60,20,8,Saturday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,-1,0
2,30,14,3,Friday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,14,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
3,30,18,10,Friday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,13,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,30,20,3,Monday,B,Dual carriageway,T or staggered junction,Give way or uncontrolled,6,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,30,12,6,Thursday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,15,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,16,7,Thursday,A,Slip road,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,17,5,Thursday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,5,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
3,60,11,8,Monday,C,Single carriageway,Using private drive or entrance,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
2,30,15,10,Tuesday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,13,2,Tuesday,C,Single carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,5,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,60,15,6,Friday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,-1,0
2,30,16,8,Monday,A,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,20,18,5,Saturday,Unclassified,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Other,Dry,0,17,Urban,2,1
3,70,16,11,Sunday,Motorway,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Rural,1,0
1,30,17,9,Friday,Unclassified,Unknown,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Wet or damp,0,0,Urban,2,1
3,30,12,7,Friday,A,Single carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,3,0,Daylight,Fine no high winds,Dry,0,0,Urban,1,1
2,30,14,5,Friday,Motorway,Slip road,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,1,1
2,20,8,7,Tuesday,C,Single carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,6,13,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,15,10,Friday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,14,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,8,4,Tuesday,Unclassified,Roundabout,Not at or within 20 metres of junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,10,11,Friday,B,Single carriageway,T or staggered junction,Give way or uncontrolled,6,17,Daylight,Fine no high winds,Dry,0,0,Rural,2,1
2,30,19,8,Monday,B,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,70,7,11,Monday,A,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Snowing no high winds,Snow,0,0,Rural,2,0
1,20,10,9,Tuesday,Unclassified,Single carriageway,Using private drive or entrance,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,17,Urban,2,1
3,40,17,9,Friday,A,Dual carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,20,15,5,Wednesday,Unclassified,Unknown,Not at or within 20 metres of junction,Data missing / out of range,0,13,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,11,10,Wednesday,Unclassified,Single carriageway,Using private drive or entrance,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,20,1,1,Sunday,Unclassified,Unknown,Data missing / out of range,Unknown,6,99,Daylight,Snowing no high winds,Snow,0,0,Urban,2,1
2,40,11,10,Thursday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
1,30,15,4,Sunday,B,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,60,15,8,Monday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
3,40,14,2,Friday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Frost or ice,4,13,Rural,2,0
1,30,1,9,Sunday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,15,Darkness - lighting unknown,Fine no high winds,Dry,0,0,Urban,2,1
3,30,8,7,Monday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Wet or damp,0,0,Rural,2,0
2,30,6,3,Wednesday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Raining no high winds,Frost or ice,4,13,Urban,2,1
3,40,12,7,Wednesday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,1
2,50,12,9,Wednesday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,4,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
1,60,2,1,Sunday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - no lighting,Other,Frost or ice,5,21,Rural,2,0
2,30,17,1,Friday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Darkness - lights lit,Fine no high winds,Wet or damp,0,0,Urban,2,1
2,30,17,11,Sunday,B,Dual carriageway,Crossroads,Automatic traffic signal,6,15,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,30,23,12,Friday,C,Single carriageway,T or staggered junction,Give way or uncontrolled,-1,0,Darkness - lighting unknown,Fine no high winds,Dry,0,0,Urban,2,1
2,30,18,11,Wednesday,B,Roundabout,Not at or within 20 metres of junction,Give way or uncontrolled,4,0,Darkness - lighting unknown,Fine no high winds,Dry,0,0,Urban,2,1
1,30,22,10,Saturday,A,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,-1,1
2,30,15,4,Sunday,A,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,13,8,Thursday,A,Roundabout,Not at or within 20 metres of junction,Automatic traffic signal,3,11,Daylight,Fine no high winds,Dry,1,11,Urban,2,1
2,30,17,6,Friday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Raining no high winds,Wet or damp,0,0,Urban,2,1
1,40,3,8,Thursday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,17,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,30,12,8,Thursday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,10,4,Thursday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,30,16,11,Thursday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,11,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,-1,1
2,60,20,6,Friday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fog or mist,Dry,0,0,Rural,2,0
1,40,17,1,Sunday,A,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
1,30,8,9,Monday,Unclassified,Single carriageway,Crossroads,Automatic traffic signal,3,0,Daylight,Fine no high winds,Dry,4,13,Rural,2,1
2,40,8,11,Tuesday,A,Dual carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Other,Dry,0,0,Urban,2,1
1,50,23,5,Thursday,C,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Darkness - no lighting,Raining no high winds,Wet or damp,0,0,Rural,2,0
1,40,19,3,Friday,A,Dual carriageway,Crossroads,Automatic traffic signal,4,13,Darkness - lights lit,Raining no high winds,Wet or damp,0,0,Urban,2,1
2,20,18,11,Thursday,Unclassified,Dual carriageway,T or staggered junction,Give way or uncontrolled,3,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
1,60,21,11,Tuesday,C,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - no lighting,Fine no high winds,Dry,0,0,Rural,2,0
1,20,15,5,Monday,C,Single carriageway,T or staggered junction,Give way or uncontrolled,6,17,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,40,14,10,Saturday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Wet or damp,0,0,Rural,2,1
1,30,15,10,Sunday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,1
2,70,12,12,Wednesday,Motorway,Unknown,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Unknown,Wet or damp,0,0,Urban,1,0
2,30,23,11,Friday,Unclassified,Single carriageway,Crossroads,Give way or uncontrolled,3,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
1,60,14,12,Tuesday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
1,30,0,7,Thursday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Darkness - lighting unknown,Fine no high winds,Dry,0,0,Rural,-1,1
2,30,12,9,Wednesday,B,One way street,Other junction,Give way or uncontrolled,5,17,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,19,10,Monday,A,Single carriageway,Crossroads,Automatic traffic signal,4,15,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,30,12,10,Sunday,Unclassified,Single carriageway,Crossroads,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,20,15,9,Thursday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,3,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,20,17,2,Friday,A,Single carriageway,T or staggered junction,Automatic traffic signal,3,15,Darkness - lights lit,Raining no high winds,Wet or damp,0,0,Urban,2,1
