checkpoint,rule,accuracy,macro_f1,macro_recall,fatal_precision,fatal_recall,fatal_f1
phase5_baseline_random_forest,default_argmax,0.4750455552819502,0.3386361051386768,0.4889885938123721,0.0363411619283065,0.6070199587061252,0.0685767600979668
phase5_1_balanced_random_forest,default_argmax,0.4826200443240581,0.3405559409139358,0.4897512414303739,0.0370199370409234,0.6070199587061252,0.0697840018988844
phase5_2_threshold_adjusted,fatal_threshold,0.5429303127308545,0.3784099562475404,0.46054155061125607,0.057523718025699534,0.3296627666896077,0.09795501022494887
