Scenario,Num_Features,Accuracy_Mean,Accuracy_Std,Macro F1_Mean,Macro F1_Std,Weighted F1_Mean,Weighted F1_Std,Precision Fatal_Mean,Precision Fatal_Std,Recall Fatal_Mean,Recall Fatal_Std,F1 Fatal_Mean,F1 Fatal_Std,Precision Serious_Mean,Precision Serious_Std,Recall Serious_Mean,Recall Serious_Std,F1 Serious_Mean,F1 Serious_Std,Precision Slight_Mean,Precision Slight_Std,Recall Slight_Mean,Recall Slight_Std,F1 Slight_Mean,F1 Slight_Std
1. D-Baseline (class_weight=balanced),21,0.6515,0.009381247918054404,0.4014324322457347,0.01122995303388102,0.6689904763632931,0.007489423491323721,0.047052538759855836,0.023163196685416512,0.07154150197628459,0.038357234996866656,0.05649469598198411,0.02820242989331601,0.3336437143234785,0.014216881674594962,0.4473205180889761,0.009551935075182667,0.38198989314274734,0.008658742356797491,0.814148210361093,0.0037693254097744943,0.7230068226120856,0.013548855532140422,0.7658127076124728,0.007381847607680136
2. BalancedRandomForest,21,0.45500000000000007,0.011021995055342746,0.3265370463366345,0.004714134540997322,0.5430439984294988,0.007924492287647758,0.027379844266804974,0.0010992623882747023,0.6126482213438735,0.050867737850726284,0.05241064440081426,0.002144626516029083,0.29050684568428237,0.013350681133797613,0.318811926396055,0.01964833728840287,0.30380779044915296,0.014175053618599814,0.8493103051294574,0.012513925415912067,0.4927561186917912,0.01803943147410975,0.6233927041599362,0.011907212945515656
3. SMOTENC + RF,21,0.653875,0.006979322137571834,0.38733935388919943,0.010994921184611617,0.665882656632844,0.004343983882978054,0.035701785941290864,0.027965780731923417,0.09841897233201582,0.07937680056144727,0.05238121880210359,0.04135121505112859,0.3223907989205349,0.009769122387732731,0.3458198255787407,0.02442991851822834,0.33332407143596776,0.013007688131796088,0.7980252136492333,0.005579807383106623,0.7559209172622915,0.015076772119179183,0.776312771429527,0.006982216287440877
