model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fatal_precision,fatal_recall,fatal_f1,train_seconds,prediction_seconds,encoded_feature_count
random_forest,0.47504555528195025,0.3796281831352258,0.4889885938123721,0.33863610513867687,0.5446551584349831,0.03634116192830655,0.6070199587061252,0.0685767600979668,122.66504609998083,2.0740363000077195,149
decision_tree,0.4393597636050234,0.36700741346201776,0.4627680709887974,0.3194934173780936,0.509881249984036,0.03364792778005745,0.5643496214728149,0.06350927467761298,90.34968059998937,1.3263826999464072,149
logistic_regression,0.37540507264220635,0.3773520566933019,0.4769986579366272,0.2958523483953353,0.43818499179311965,0.03401490540798777,0.6125258086717137,0.06445072054457238,78.16857450001407,2.02439500001492,149
