model,label,precision,recall,f1-score,support
logistic_regression,Fatal,0.03401490540798777,0.6125258086717137,0.06445072054457238,1453.0
logistic_regression,Serious,0.27034213791880873,0.4842999483942678,0.34699014491104824,25191.0
logistic_regression,Slight,0.8276991267531093,0.3341702167439003,0.4761161797303854,74881.0
logistic_regression,macro avg,0.3773520566933019,0.4769986579366272,0.2958523483953353,101525.0
logistic_regression,weighted avg,0.6780453165650835,0.37540507264220635,0.43818499179311965,101525.0
decision_tree,Fatal,0.03364792778005745,0.5643496214728149,0.06350927467761298,1453.0
decision_tree,Serious,0.27003479140027953,0.3604858878170775,0.3087725263515811,25191.0
decision_tree,Slight,0.7973395212057162,0.46346870367650006,0.5861984511050867,74881.0
decision_tree,macro avg,0.36700741346201776,0.4627680709887974,0.3194934173780936,101525.0
decision_tree,weighted avg,0.6555717070340714,0.4393597636050234,0.509881249984036,101525.0
random_forest,Fatal,0.03634116192830655,0.6070199587061252,0.0685767600979668,1453.0
random_forest,Serious,0.29423581083381567,0.3430590290183002,0.3167772442359151,25191.0
random_forest,Slight,0.8083075766435552,0.5168867937126908,0.6305543110821488,74881.0
random_forest,macro avg,0.3796281831352258,0.4889885938123721,0.33863610513867687,101525.0
random_forest,weighted avg,0.66970477878003,0.4750455552819502,0.5446551584349831,101525.0
