k,inertia,silhouette,davies_bouldin,calinski_harabasz
2,95756.56055658191,0.14348989731274864,2.3870753462031082,1287.425736845552
3,89650.94995395702,0.08971356736886264,2.7639906134938204,1027.902183514744
4,85735.2647506927,0.08353127583718749,2.8213087673791657,868.672373237041
5,82928.57853263707,0.08524767894846733,2.624440851068861,758.0560562011973
6,80289.58259425235,0.08000298913130943,2.506223056143503,692.0125944202531
